Using variation 0
Reading 10000 pairs.......... done!
Run list:
(1496642114, 1006092441), (1755520840, 1124109734), (1775270452,  765818411), (1292941718,  135014363), (1300273579, 1973921603), ( 768092460,  825846150), (2095488654, 1011275616), ( 624671273, 1119758080), (1946282584,  308294149), (1413696899,   72865441), 
( 588428996, 1321369255), (1347989633, 1965055254), (1781788972, 1731086945), (1033039114, 1511880056), (1648102577,   98102124), (1430291104,  702237981), ( 810860314,  445812304), ( 399562794,  330439467), ( 652862588,  672091353), (1804367476, 1661378544), 
(1903117726,  218316491), (1713133430, 2119550963), ( 211642649,  162628693), (  57688662, 1119563465), (1260743489, 1087265349), ( 132387886, 2060628393), ( 627817670, 1960059904), (1310987662,  847579581), ( 370803737, 1100712751), (1104165056,  635388477), 
(1110961551,  288780600), (1165919437,  202730044), ( 763027014,  223224435), (1158436161, 2140146239), ( 983365066, 1281643288), ( 871278257, 1082442131), ( 928688758, 2067213817), ( 929132536,  340382554), ( 889701531, 1101556979), (1019603012,   12888937), 
(1820004450,  611803941), (1002435028,  598968020), (1855012465,  572395741), (1681014141, 1706159173), (1616291663, 1276194134), (2035925745, 1234718736), (  52963719,  476266019), ( 386398654,  396790790), (1227551374, 1185588329), ( 614217495,  622429964), 
( 895175268, 1161472974), ( 852225109, 1996206186), (1207069180, 1654625076), ( 105516603,   24160995), ( 916671579, 2126360357), ( 230510844, 1132182408), ( 815691394, 1343449612), (  69565692, 2105633868), (1863111180, 1628330535), (2131741784, 1157901910), 
(1366388374,  151213375), ( 683287847,  870038553), (1166172642,  568948245), (1718975613, 1930941220), (1004050105,  957888410), ( 721885747, 1657644473), (1740015251, 2095607270), ( 882437480,  483428382), ( 196485623,  632849637), (1999166918,  343241142), 
( 301835171,  457401552), (1925650820,  289503694), ( 804994666,  369789026), ( 901996590, 1186171959), (1465391584, 2082677958), (1259955750, 1193863576), ( 837942711,  989210449), (1415317737,  321693567), (1777089511, 1546860788), ( 273657873,   80892988), 
(2114414992,  389477231), ( 217294622, 1461423725), (1645233822,  503563333), (1174030323,  146304088), ( 723874864, 1730031987), (1856010785, 1538475771), ( 125068728,  838580190), ( 678682342,  816254179), (1125976290,  148171663), (1696086514, 2109801663), 
( 403486773, 2113573281), ( 886810351,  577586099), ( 174061690, 1684912117), (1085933503, 1442722668), ( 279662815, 1171956395), ( 820983682, 1937720311), (1211830746, 1399257935), (1053323870, 1620204881), (1964649166,  321049045), ( 860132861, 1359510718), 
( 245367407,  154974022), ( 287538900,  632637913), ( 396703205,  489209399), ( 724846120,  673027951), (  41907890, 2065343740), (1719836881, 1631645706), (1635012435,  821215648), (1757621948, 1299075662), ( 589495975, 1205743506), (1919860529,  718502151), 
( 442844690,  424268575), ( 619488729,  627551997), ( 317139553,  540569251), (1962680445,  498152078), ( 824563563,  111913342), ( 151813518, 1280694521), (1591043708,  781199559), (1126470503,   17210746), (  51229552, 2004656578), ( 932768852, 1042689049), 
(1184768161, 2133057041), (1319191378, 1874491457), ( 607680897,  530173356), (1401724307, 2125020947), (  79866886, 1741400721), ( 769970376,    4170103), ( 664777928, 1359670842), ( 146844188, 1093975543), ( 380588523, 1881895123), ( 606426625, 1829187146), 
(1724180669, 1662284327), ( 332831918,  286629041), (  69551646,  968143965), ( 692473699, 1008886020), (1244364194,  457800807), (1241674353, 2034366859), ( 671396728, 1738059829), (1911731197, 1735701389), ( 282253576,  343793324), ( 561289086,  747316136), 
(2010555486,  112872793), (2008473098,   77972966), ( 414205512,  663229412), ( 955506517,  761236875), (1272393537, 1975524677), (  12233588, 1827892398), ( 645464843, 1392725688), (1612158309, 1977413518), ( 656360222, 1293317233), ( 669735503, 1703130017), 
( 763116483,  589393935), ( 521238920,  537008747), (2134819838, 1189167312), (1693816154, 1193722900), ( 399314991,  437063049), (1059565700,  229712311), (  80120695,  657338451), ( 340756609,  647564154), ( 240948187,  392911876), (1376705675,  272712290), 
(1796365610,  594975587), (2134033757, 2080709090), (1086570142, 1088313882), ( 977536443,  285271352), ( 807597891, 1261538154), (1669746611, 1269149815), ( 763199770, 1771478689), ( 860266143,  953658723), (1688729341, 1872081227), (2081985009, 1296551935), 
(1770044736, 2058714922), (1493342381,  411590374), (1948906779,  194740197), ( 137982388,  344756061), (1760181961, 1528755842), ( 813322438, 1351809316), (1825865327,  734987925), (1410614341,  952846863), (1175897022, 1461434165), ( 788564921,  958836055), 
(1204813911, 1452413873), (1086967575, 2098430640), ( 179107056,  152774150), (1125287616,  172216601), ( 819718458, 1949178637), (1272593482, 2018438518), (1989639809, 1092963447), (1538385921,   61732063), (1314425104,  913721466), ( 400504619, 1023635125), 
(1222567001, 1829565255), (1891554062,  347985528), ( 161557976,   20544066), (1944438962,   27598171), ( 117680818,    4292847), ( 179423590,   79912851), (1454770208, 1369714605), (1678276611, 1212693874), (1166555789, 1545674789), (1257622258,  449292342), 
(2084978560,  655532927), ( 685326062,  112411297), (1871377978,  934977113), (1938964105, 1164903752), (1543105311, 1784856184), (1205564015, 1317065387), ( 247474645,  132086331), (1867842156, 1127936776), ( 971772460, 1446386130), ( 321777454, 1966194671), 
( 336337859, 1726341682), (1507613898, 1247549332), (  86288486, 1594098119), ( 836039168, 1002376166), ( 514648377, 2102049510), ( 124849213,  819220835), ( 528651925,  451634184), ( 661925988, 1997270440), (1152697013, 1761841592), ( 220216395,  342405578), 
( 628471567,  701822535), (1553517830,  932696167), (1529064578,  635480900), (1221952999,   42169211), ( 909690420,  493160622), ( 642996288, 1910522354), (1034006329, 1971253734), (1761931245,  543554817), (1003193074, 1630382182), (1319228564,  636683572), 
( 377006139, 1190791218), (1963259817, 1393226566), ( 856462146,  571509265), ( 474594100,  128979123), ( 651068984,  528369531), (1425572177, 1730680845), (1934853289,  925963344), (1520558202,  648776977), ( 244257195,   30057037), (1504244870,  959475833), 
(1997204664,  154560061), (1642898544,  374328206), ( 340133211, 1450365682), (1151340760, 1566977924), ( 587871629, 2055029234), ( 520210249,  361712772), (1836652251, 1404121585), (1346509375, 1204591752), ( 255839823, 1328162561), ( 466122214,  928435690), 
( 102883083, 1705564298), ( 931639714, 1947883962), (1310394293,  355153146), ( 108090962,  172960210), (1229450902,  369591099), (1045951828,  230365865), ( 886449280,  204099048), ( 979400774, 1087339754), (1753925234, 1951899711), ( 960655761,  400672451), 
( 594568700,  227472596), (1199006118, 1491010814), ( 606851171, 2114081289), ( 362355974,  363496401), (1288169603, 1954570304), (2054096642, 1146568565), ( 324562808,   99708366), (1633314118,  834442359), (2117323771,  101153965), (1687273494,  283494351), 
(1812196492,  486631928), (1399531350, 1720484533), (1747848275, 1486938902), (1683319883,  267286062), (1254197958, 2041807028), (1397793826,  643690088), (1702735370, 1022286707), ( 745884468, 2121092554), (2064545817, 1616875109), (  24813829,   51754953), 
(1140886184,  618355511), (1287391505,  759727995), (1055642053,  183902254), (1054687302, 1453059565), ( 205879618,  209325010), ( 965594959,  689078323), ( 389588180,  290618988), ( 895165845, 1782434115), (1232489210, 1633305904), (1411524869, 1648088962), 
( 195819166, 1359778617), (1601131154,  525319705), (1369550717, 1794707512), (1920868217, 1422214672), (1924050246, 1430978794), ( 277301062,  380591896), ( 226838915,  847457614), (1731076762,  814859302), ( 959818811, 1059394706), (2090658472, 1495629764), 
(1085781843, 1792473809), ( 163582339,   21526565), ( 727433399,  762632318), (1083217690, 2134383357), (1364359997, 1487312797), (1047348990, 1445378317), (1001105987,  616101559), (1777538793, 1496077696), ( 276563997,  977912202), (2114223615, 1784809720), 
(1265242929, 2000080771), (2133829841,  382244966), (  30525919,  806354923), (1582557732, 1288313756), (1928305953,  755789795), ( 118879350, 1878420387), ( 604117493,  598896145), ( 432222268,  133877965), (1222825341, 1810013206), ( 297015020, 1276414089), 
( 942028771,  822472134), ( 395142845, 1246643961), ( 723664381, 1601096213), (1065391920, 1786305603), ( 174874036,  225248722), (1939539532,  232701354), (  99500324,  549785621), (1238658732,  167937627), ( 962703490, 1877600377), ( 111938106, 1080599559), 
( 476267200,  521815817), ( 181733815,  293327668), (2126267634, 2039515642), (1846660353, 1807526739), (1349748846,  119925021), (  86918163,  927742608), (1988438965,  487094034), ( 338241738, 1560385900), (1790007828,  729033788), (1821141357,  701132300), 
(1743931912,  113180535), ( 935616490, 1300660045), (1654186597, 1817701514), ( 758525409,  920536991), ( 212899381,   79238237), (1955928417,  167021453), ( 641351520,  534560491), (1950795379, 1949488158), (1498274832, 1861577461), (1261864282,  452009183), 
(1651736273, 2042158970), ( 931643799, 1733841339), (1156770170,  255741673), ( 682045870, 1828705424), (1256890063, 1938767891), (1032533930,  763767425), ( 297628386,  147572961), (1861426785, 2012507403), (1644662332,  880902858), ( 631608182,  599587545), 
( 340402111, 1087741185), (2093859362, 1743052888), (1088302409, 2042754161), (1877461682,  244879369), (2085519127, 1179986281), ( 899414735, 1145787032), (1600671215, 2115346198), (  87634560, 1118956208), ( 466822140,  972524724), ( 161357295,  411571339), 
(1546626167, 1643521154), (1057070062, 1279339851), ( 806188553,  908037241), (2108288311,  464760331), (1150807027,  330559676), (1874015349,  390054579), ( 682223081,  920101837), ( 865377030, 1487982734), (1557706434,  929566852), (1783936637,  390736028), 
